Company Name,Website,Type/Category,Geographic Coverage,Loan Size Range,Email/Phone,Products,Sectors Served,CITR Accredited,LinkedIn/Twitter,FCA Status,Notes,Source
Zopa Bank,https://www.zopa.com,Challenger Bank,UK (National),Personal & SME,App-based,"Savings, loans, credit cards","Consumers, SMEs",No,@Zopa,FCA Regulated (Bank),"£80m 2025, world's first P2P lender turned bank, 1m+ customers",Challenger Bank Research
Atom Bank,https://www.atombank.co.uk,Challenger Bank / Business,UK (National),Various,App-based,"Business savings, mortgages",Businesses,No,@atombank,FCA Regulated (Bank),"UK's first app-only bank, founded 2013",Challenger Bank Research
Tandem Bank,https://www.tandem.co.uk,Challenger Bank / Green,UK (National),Various,App-based,"Green lending, savings, mortgages",Eco-focused customers,No,@TandemMoney,FCA Regulated (Bank),"Founded 2013, focus on sustainability",Challenger Bank Research
Metro Bank,https://www.metrobank.co.uk,Challenger Bank,UK (National),Various,Branch & app,"Business banking, SME loans, asset finance",SMEs,No,@Metro_Bank,FCA Regulated (Bank),First new high street bank in 100+ years (2010),Challenger Bank Research
Tide,https://www.tide.co,Fintech / Business Banking,UK (National),Business accounts,App-based,"Business accounts, expense cards, accounting integration","SMEs, freelancers",No,@TideHQ,E-money (FCA),"Leading SME banking app, 500k+ members",Challenger Bank Research
Anna Money,https://www.anna.money,Fintech / Business Banking,UK (National),Business accounts,App-based,"Business accounts, invoicing, accounting","Freelancers, sole traders",No,@annamoney_uk,E-money (FCA),Smart business banking app,Challenger Bank Research
iwoca,https://www.iwoca.co.uk,Fintech / SME Lender,"UK, Germany",£1k - £1m,Apply online,"Flexible credit, business loans, revolving credit",SMEs,No,@iwoca,FCA Regulated,"Leading fintech lender, fast decisions, £3bn+ lent",Challenger Bank Research
Funding Circle,https://www.fundingcircle.com,Fintech / P2P Lender,"UK, US, Europe",£10k - £500k,Apply online,"Business loans, government-backed loans",SMEs,No,@fundingcircle,FCA Regulated,"£16bn lent since 2010, leading P2P lender",Challenger Bank Research
Fleximize,https://www.fleximize.com,Fintech / SME Lender,UK (National),£5k - £500k,Apply online,"Business loans, flexible repayment",SMEs,No,@Fleximize,FCA Regulated,Fast flexible business loans,Challenger Bank Research
Capify,https://www.capify.co.uk,Fintech / MCA,UK (National),£10k - £500k,Apply online,"Merchant cash advance, business loans","Retail, hospitality",No,@CapifyUK,FCA Regulated,Leading MCA provider,Challenger Bank Research
YouLend,https://www.youlend.com,Fintech / Embedded Finance,"UK, Europe, US",Various,Via platforms,"Embedded capital for ecommerce, revenue-based finance","Ecommerce, platforms",No,@YouLend,FCA Regulated,"Embedded finance for Amazon, eBay, etc.",Challenger Bank Research
Liberis,https://www.liberis.com,Fintech / Embedded Finance,"UK, Europe, US",Various,Via partners,"Embedded SME finance, merchant cash advance",SMEs via partners,No,@LiberisUK,FCA Regulated,Leading embedded finance platform,Challenger Bank Research
Kroo Bank,https://www.kroo.com,Challenger Bank / Social,UK (National),Personal banking,App-based,"Social banking, plants trees for customers",Consumers,No,@KrooBank,FCA Regulated (Bank),"Launched 2022, plants 1m trees goal",Challenger Bank Research
Fiinu,https://www.fiinu.com,Fintech / Short-term Lending,UK (National),Short-term loans,App-based,"Short-term borrowing, credit improvement",Consumers,No,LinkedIn,FCA Regulated,Aims to improve credit scores,Challenger Bank Research
UK Export Finance (UKEF),https://www.gov.uk/government/organisations/uk-export-finance,Trade Finance / Government,"UK, International",£8.8bn support (2023-24),020 7271 8010,"Export finance, guarantees, insurance for overseas contracts",UK exporters,No,@UKEF,Government Agency,Government-backed export credit agency,Trade Finance Research
HSBC Trade Finance,https://www.hsbcnet.com,Trade Finance / Bank,"UK, Global (200+ countries)",Various,Contact via website,"Trade finance, export finance, letters of credit, FX","International traders, all sizes",No,@HSBC_UK,FCA Regulated (Bank),Global trade finance leader with 200+ country expertise,Trade Finance Research
Barclays Trade Finance,https://www.barclayscorporate.com,Trade Finance / Bank,"UK, International",Various,Relationship banking,"Trade finance, export/import finance, supply chain finance","Corporate, SMEs",No,@Barclays,FCA Regulated (Bank),Major trade finance provider,Trade Finance Research
NatWest Trade Finance,https://www.natwest.com/business,Trade Finance / Bank,"UK, International",Various,Relationship banking,"Trade finance, export finance, FX","SMEs, corporates",No,@NatWest_Help,FCA Regulated (Bank),Major UK bank trade finance,Trade Finance Research
Santander Trade Finance,https://www.santander.co.uk/business,Trade Finance / Bank,"UK, International",Various,Relationship banking,"Trade finance, export finance, documentary credits","SMEs, corporates",No,@santanderukhelp,FCA Regulated (Bank),Major trade finance provider,Trade Finance Research
Lloyds Bank Trade Finance,https://www.lloydsbank.com/business,Trade Finance / Bank,"UK, International",Various,Relationship banking,"Trade finance, export/import finance, FX","SMEs, corporates",No,@AskLloydsBank,FCA Regulated (Bank),Major trade finance division,Trade Finance Research
Ulster Bank Trade Finance,https://www.ulsterbank.co.uk/business,Trade Finance / Bank,"Northern Ireland, UK",Various,Contact via website,"Trade finance, export finance","SMEs, corporates",No,@UlsterBank_Help,FCA Regulated (Bank),Part of NatWest Group,Trade Finance Research
Berkeley Trade Finance,https://www.berkeleytf.com,Trade Finance,UK (National),Various,Contact via website,"Trade finance, invoice finance","Exporters, importers",No,LinkedIn,FCA Regulated,"Launched May 2019, specialist trade finance",Trade Finance Research
Tradeplus24,https://www.tradeplus24.com,Trade Finance / Invoice,"UK, Europe",Various,Apply online,"Trade finance, invoice finance, international","Exporters, importers",No,LinkedIn,FCA Regulated,International trade and invoice finance platform,Trade Finance Research
Ultimate Finance Group,https://www.ultimatefinance.co.uk,Trade Finance,UK (National),£25k - £1m,Contact via website,"Trade finance, invoice finance, asset finance",UK exporters and SMEs,No,N/A,FCA Regulated,"Includes Ashley Commercial/Ashley Finance, trade specialist",Trade Finance Research
Hydr,https://www.hydr.com,Trade Finance / FX / Fintech,"UK, International",Various,Apply online,"Trade finance, invoice finance, FX, international payments",International traders,No,@Hydr,FCA Regulated,Fintech for cross-border finance,Trade Finance Research
YouLend,https://www.youlend.com,Merchant Cash Advance / Embedded,"UK, Europe, US",£5k - £500k,Via platforms,"Merchant cash advance, embedded capital, revenue finance","Ecommerce sellers (Amazon, eBay, etc.)",No,@YouLend,FCA Regulated,"Leading embedded finance, works with Amazon, eBay, Shopify",MCA Research
Liberis,https://www.liberis.com,Merchant Cash Advance,"UK, Europe, US",Various,Via partners,"Merchant cash advance, embedded SME finance",SMEs via partners,No,@LiberisUK,FCA Regulated,Leading embedded finance platform,MCA Research
Capify,https://www.capify.co.uk,Merchant Cash Advance,UK (National),£10k - £500k,Apply online,"Merchant cash advance, business loans","Retail, hospitality, card-heavy businesses",No,@CapifyUK,FCA Regulated,"Leading MCA provider, repay via card sales %",MCA Research
365 Finance,https://www.365finance.co.uk,Merchant Cash Advance,UK (National),£5k - £500k,Apply online,Merchant cash advance,"Retail, hospitality",No,@365Finance,FCA Regulated,Fast MCA provider,MCA Research
Nucleus Commercial Finance,https://www.nucleuscommercial.com,Merchant Cash Advance / Invoice,UK (National),£3k - £300k,Apply online,"Merchant cash advance, invoice finance",SMEs,No,@NucleusComFin,FCA Regulated,MCA and invoice finance,MCA Research
Kriya,https://www.kriya.co.uk,Revenue Finance / Fintech,UK (National),£10k - £5m,Apply online,"Revenue finance, invoice finance, business loans",SMEs with recurring revenue,No,@KriyaFinance,FCA Regulated,"Formerly MarketFinance, leading fintech, revenue-based finance",MCA Research
Uncapped,https://www.weareuncapped.com,Revenue Finance / Fintech,"UK, Europe",£10k - £5m,Apply online,Revenue-based finance for growth,"High-growth startups, SaaS",No,@weareuncapped,FCA Regulated,"Flexible revenue finance, no equity dilution",MCA Research
Funding Circle,https://www.fundingcircle.com,P2P Business Lending,"UK, US, Europe",£10k - £500k,Apply online,"Business loans, government-backed loans",SMEs,No,@fundingcircle,FCA Regulated,"£16bn lent since 2010, largest UK P2P business lender, now institutional focus",P2P Research
Folk2Folk,https://www.folk2folk.com,P2P Business Lending,UK (National),Secured loans,Apply online,"Secured business loans, property-backed","SMEs, rural businesses",No,LinkedIn,FCA Regulated,"£770m+ lent, 8% investor returns, regional focus, turned profit",P2P Research
Crowd2Fund,https://www.crowd2fund.com,P2P / Crowdfunding,UK (National),Various,Apply online,"Business loans, revenue-sharing, convertible",Growing companies,No,LinkedIn,FCA Regulated,Retail investors fund businesses,P2P Research
CrowdProperty,https://www.crowdproperty.com,P2P Property Lending,UK (National),£800m+ funded,Apply online,"Property development loans, bridging via P2P",Property developers,No,@CrowdProperty,FCA Regulated,"P2P property specialist, perfect repayment record, 7-8% returns",P2P Research
Kuflink,https://www.kuflink.com,P2P Property Lending,UK (National),£279m+ facilitated,Apply online,Property bridging loans via P2P,Property investors,No,@Kuflink,FCA Regulated,P2P property platform,P2P Research
CapitalRise,https://www.capitalrise.com,P2P Property,UK (National),£200m+ raised,Apply online (£1k min),High-end property development P2P,Luxury property developers,No,LinkedIn,FCA Regulated,"Prime property focus, strong returns",P2P Research
Proplend,https://www.proplend.com,P2P Commercial Property,UK (National),Various,Apply online,Commercial property loans via P2P,Commercial property,No,LinkedIn,FCA Regulated,Commercial property P2P,P2P Research
Assetz Capital,https://www.assetzcapital.co.uk,P2P Business & Property,UK (National),Various,Apply online,"Business loans, property loans via P2P","SMEs, property",No,@AssetzCapital,FCA Regulated,Established P2P platform,P2P Research
Plend,https://www.plend.co.uk,P2P Consumer Lending,UK (National),Up to £10k,Apply online,Personal loans via P2P,Consumers,No,LinkedIn,FCA Regulated,"Launched 2022, ethical P2P consumer lending, up to 8% returns",P2P Research
Rebuildingsociety,https://www.rebuildingsociety.com,P2P Business Lending,UK (National),Various,Apply online,Business loans via P2P,SMEs,No,LinkedIn,FCA Regulated,Community P2P lender,P2P Research
Sonovate,https://www.sonovate.com,Recruitment Finance,UK (National),Up to 100% advance,Apply online,"Invoice finance for recruitment, back office",Recruitment agencies,No,@Sonovate,FCA Regulated,Specialist recruitment funding and back office,Specialist Research
Growth Lending,https://www.growthlending.com,Growth Finance,UK (National),£50k - £2m,Apply online,"Invoice finance, growth loans","Growth SMEs, international",No,LinkedIn,FCA Regulated,"Absorbed GapCap, specialist in growth finance",Specialist Research
Lendwise,https://www.lendwise.com,Education Finance,UK (National),Postgraduate loans,Apply online,Student loans for postgrad education,Students,No,LinkedIn,FCA Regulated,Specialist postgrad student loans,Specialist Research
Abundance Investment,https://www.abundanceinvestment.com,Green Finance / Crowdfunding,UK (National),£79m+ invested,Apply online (£5 min),"Renewable energy, green bonds, community projects","Green projects, social housing",No,@AbundanceInvest,FCA Regulated,"UK's first regulated crowdfunding, 4-9% returns, 5,250+ investors",Specialist Research
Triodos Crowdfunding,https://www.triodos.co.uk/crowdfunding,Impact Finance,"UK, Europe",Various,Apply online,"Bonds and shares for charities, renewables, impact","Social enterprises, green projects",No,@TriodosUK,FCA Regulated,Ethical bank crowdfunding platform,Specialist Research
Ethex,https://www.ethex.org.uk,Impact Finance,UK (National),Various,Apply online,"Social impact investments, community energy, fair trade",Social enterprises,No,@Ethex_UK,FCA Regulated,"Social impact investment platform, 2-5% returns",Specialist Research
Mintus,https://www.mintus.com,Art Finance / Alternative Assets,UK (National),High value,Qualified investors,Fractional fine art ownership,Art investors,No,LinkedIn,FCA Regulated,"First FCA-approved fractional art platform, invest in masterpieces",Specialist Research
AxiaFunder,https://www.axiafunder.com,Litigation Finance,UK (National),Various,Contact via website,Litigation funding via crowdfunding,Legal claims,No,LinkedIn,FCA Regulated,"Crowdfund legal claims, high risk/return",Specialist Research
Fleximize,https://www.fleximize.com,SME Unsecured Lending,UK (National),£5k - £500k,Apply online,"Unsecured business loans, flexible repayment",SMEs,No,@Fleximize,FCA Regulated,Fast flexible business loans,Specialist Research
Swoop Funding,https://www.swoopfunding.com,Funding Marketplace,UK (National),Various,Apply online,"Funding matching platform (loans, grants, equity)",SMEs,No,@SwoopFunding,Platform (not lender),"AI-powered funding matching, not a direct lender",Specialist Research
British Business Bank,https://www.british-business-bank.co.uk,Government / SME Finance,UK (National),Various programs,Via accredited lenders,"Growth Guarantee Scheme, Start Up Loans, regional funds",SMEs,No,@British_Bank,Government Agency,"Government-owned, £2.5bn via GGS first year, supports SME lending",Specialist Research
